title,make,model,year,condition,transmission,price
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2008 Black,Toyota,Camry LE,2008,local used,automatic,"₦ 6,950,000"
Mercedes-Benz C300 Sport 4Matic Sedan AWD (3.0L 6cyl 7A) 2010 Black,Mercedes-Benz,C300 Sport,2010,foreign used,automatic,"₦ 14,000,000"
Toyota Corolla LE Eco Plus 4dr Sedan (1.8L 4cyl CVT) 2014 Silver,Toyota,Corolla LE,2014,foreign used,automatic,"₦ 13,650,000"
Toyota Corolla 2005 Red,Toyota,Corolla,2005,local used,automatic,"₦ 5,800,000"
Toyota Highlander SE 4x4 V6 (3.5L 6cyl 8A) 2017 Black,Toyota,Highlander SE,2017,local used,automatic,"₦ 25,500,000"
Lexus ES 2004 Black,Lexus,ES,2004,local used,automatic,"₦ 6,500,000"
Mercedes-Benz C300 Sport Sedan AWD (3.0L 6cyl 7A) 2008 White,Mercedes-Benz,C300 Sport,2008,local used,automatic,"₦ 5,250,000"
Lexus RX 350 2014 Black,Lexus,RX 350,2014,local used,automatic,"₦ 16,500,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5M) 2002 Gray,Toyota,Camry LE,2002,local used,automatic,"₦ 2,550,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2015 Black,Toyota,Camry SE,2015,foreign used,automatic,"₦ 14,000,000"
Lexus RX 330 2006 Green,Lexus,RX 330,2006,local used,automatic,"₦ 8,900,000"
Toyota Venza V6 AWD 2012 Brown,Toyota,Venza V6,2012,local used,automatic,"₦ 12,600,000"
Kia Sorento 2.5 CDRi Automatic 2010 Gray,Kia,Sorento 2,2010,local used,automatic,"₦ 9,500,000"
Lexus RX 350 2013 Black,Lexus,RX 350,2013,foreign used,automatic,"₦ 25,300,000"
Lexus RX 350 2016 Red,Lexus,RX 350,2016,foreign used,automatic,"₦ 46,000,000"
Toyota Camry 2008 Black,Toyota,Camry,2008,local used,automatic,"₦ 5,800,000"
Toyota Fortuner 2017 Black,Toyota,Fortuner,2017,foreign used,automatic,"₦ 25,500,000"
Lexus RX 2009 Black,Lexus,RX,2009,local used,automatic,"₦ 8,700,000"
Mercedes-Benz GL-Class 2011 Black,Mercedes-Benz,GL-Class,2011,local used,automatic,"₦ 5,700,000"
Lexus GX 470 Sport Utility 2008 Beige,Lexus,GX 470,2008,local used,automatic,"₦ 8,500,000"
Honda CR-V 2013 Black,Honda,CR-V,2013,foreign used,automatic,"₦ 15,000,000"
Hyundai Sonata Limited 2019 White,Hyundai,Sonata Limited,2019,foreign used,automatic,"₦ 23,000,000"
Hyundai Sonata 2018 White,Hyundai,Sonata,2018,foreign used,automatic,"₦ 16,500,000"
Toyota Avalon XLE FWDSedan (3.6L 6cyl 6A) 2016 White,Toyota,Avalon XLE,2016,foreign used,automatic,"₦ 22,500,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2017 Black,Toyota,Camry SE,2017,foreign used,automatic,"₦ 16,500,000"
Toyota Sienna XLE 7-Passenger 4dr Minivan AWD (3.5L 6cyl 6A) 2014 Blue,Toyota,Sienna XLE,2014,foreign used,automatic,"₦ 19,000,000"
Toyota Avalon XLE Premium Sedan FWD (3.5L 6cyl 6A) 2017 Gray,Toyota,Avalon XLE,2017,foreign used,automatic,"₦ 23,000,000"
Toyota Hilux 2022 White,Toyota,Hilux,2022,foreign used,automatic,"₦ 61,000,000"
Acura MDX Touring 4dr SUV AWD (3.5L 6cyl 5A) 2006 White,Acura,MDX Touring,2006,local used,automatic,"₦ 3,300,000"
Toyota Venza 2010 Red,Toyota,Venza,2010,local used,automatic,"₦ 12,900,000"
Mercedes-Benz E350 Base 4Matic Sedan AWD (3.5L 6cyl 7A) 2011 Brown,Mercedes-Benz,E350 Base,2011,local used,automatic,"₦ 11,900,000"
Honda Accord Coupe 3.5 EX-L V6 2009 Red,Honda,Accord Coupe,2009,local used,automatic,"₦ 5,500,000"
Toyota Venza AWD 2010 White,Toyota,Venza AWD,2010,foreign used,automatic,"₦ 22,000,000"
Lexus ES 2016 Black,Lexus,ES,2016,foreign used,automatic,"₦ 25,000,000"
Toyota Avalon Limited FWD Sedan (3.6L 6cyl 6A) 2016 Black,Toyota,Avalon Limited,2016,local used,automatic,"₦ 16,650,000"
Infiniti FX35 2011 Silver,Infiniti,FX35,2011,local used,automatic,"₦ 10,000,000"
Toyota Corolla 2015 Gray,Toyota,Corolla,2015,local used,automatic,"₦ 11,700,000"
Toyota Corolla 2012 Gray,Toyota,Corolla,2012,local used,automatic,"₦ 8,000,000"
Lexus GX 470 Sport Utility 2006 Green,Lexus,GX 470,2006,local used,automatic,"₦ 11,500,000"
Lexus RX 350L 2018 White,Lexus,RX 350L,2018,foreign used,automatic,"₦ 55,200,000"
Hyundai Sonata 2015 Red,Hyundai,Sonata,2015,foreign used,automatic,"₦ 9,200,000"
Mercedes-Benz GLK-Class 2015 Black,Mercedes-Benz,GLK-Class,2015,foreign used,automatic,"₦ 20,000,000"
Audi Q5 2012 Black,Audi,Q5,2012,local used,automatic,"₦ 9,800,000"
Toyota Camry 2.4 LE 2008 Blue,Toyota,Camry 2,2008,local used,automatic,"₦ 5,850,000"
Lexus RX 2004 Gray,Lexus,RX,2004,local used,automatic,"₦ 9,800,000"
Toyota Corolla LE 2007 Green,Toyota,Corolla LE,2007,local used,automatic,"₦ 4,700,000"
Ford Edge 2011 Red,Ford,Edge,2011,local used,automatic,"₦ 7,000,000"
Toyota Matrix S Hatchback AWD (2.4L 4cyl 4A) 2011 Blue,Toyota,Matrix S,2011,foreign used,automatic,"₦ 9,700,000"
Toyota Venza V6 2009 Gray,Toyota,Venza V6,2009,local used,automatic,"₦ 10,500,000"
Peugeot 307 2006 Red,Peugeot,307,2006,local used,automatic,"₦ 2,700,000"
Rover Land 2013 Blue,Rover,Land,2013,local used,automatic,"₦ 8,000,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2015 Black,Toyota,Camry LE,2015,foreign used,automatic,"₦ 15,500,000"
