title,make,model,year,condition,transmission,price
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2008 Black,Toyota,Camry,,local used,automatic,"₦ 4,900,000"
Lexus RX 350 F Sport AWD 2017 Black,Lexus,RX,,foreign used,automatic,"₦ 48,200,000"
Hyundai Santa Fe 2015 Gray,Hyundai,Santa,,foreign used,automatic,"₦ 16,500,000"
Honda Accord Sport 4dr Sedan FWD (2.4L 4cyl 2A) 2016 Black,Honda,Accord,,local used,automatic,"₦ 9,599,998"
Toyota Venza V6 AWD 2011 Silver,Toyota,Venza,,foreign used,automatic,"₦ 17,800,000"
Toyota Avalon 2008 Blue,Toyota,Avalon,2008,local used,automatic,"₦ 5,700,000"
Lexus GX 460 Luxury 2020 Black,Lexus,GX,,foreign used,automatic,"₦ 55,000,000"
Toyota Corolla 2014 Gray,Toyota,Corolla,2014,local used,automatic,"₦ 10,700,000"
Toyota Sienna LE 4WD 2007 Blue,Toyota,Sienna,,local used,automatic,"₦ 6,700,000"
Toyota Land Cruiser 4.5 V8 GXR 2017 Black,Toyota,Land,,local used,automatic,"₦ 36,500,000"
Volkswagen Tiguan SE 4Motion 2010 White,Volkswagen,Tiguan,,foreign used,automatic,"₦ 7,000,000"
Toyota Venza V6 AWD 2011 Black,Toyota,Venza,,foreign used,automatic,"₦ 18,300,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2013 Gray,Toyota,Camry,,foreign used,automatic,"₦ 14,000,000"
Ford Edge SEL 4dr AWD (3.5L 6cyl 6A) 2012 Blue,Ford,Edge,,local used,automatic,"₦ 7,300,000"
Volkswagen Golf GTI 2.0T Autobahn 4-Door 2015 Black,Volkswagen,Golf,,foreign used,automatic,"₦ 23,000,000"
Lexus LX 570 (5 seats) AWD 2018 Silver,Lexus,LX,,foreign used,automatic,"₦ 125,000,000"
Toyota Venza V6 2009 Silver,Toyota,Venza,,foreign used,automatic,"₦ 17,700,000"
Acura MDX Premium 4dr SUV AWD (3.5L 6cyl 5A) 2005 Green,Acura,MDX,,local used,,"₦ 3,800,000"
Honda Accord 2005 Gray,Honda,Accord,2005,local used,automatic,"₦ 2,500,000"
Lexus ES 350 FWD 2013 Black,Lexus,ES,,foreign used,automatic,"₦ 21,000,000"
Toyota Highlander Limited 3.5l 4WD 2013 Black,Toyota,Highlander,,local used,automatic,"₦ 12,500,000"
Honda Accord Touring 2018 Gray,Honda,Accord,,local used,automatic,"₦ 17,599,999"
Hyundai Tucson Limited FWD 2015 Red,Hyundai,Tucson,,foreign used,automatic,"₦ 16,000,000"
Toyota Corolla 2005 Gray,Toyota,Corolla,2005,foreign used,automatic,"₦ 9,500,000"
Toyota Corolla 2003 Gray,Toyota,Corolla,2003,foreign used,automatic,"₦ 7,500,000"
Toyota Camry SE Nightshade FWD 2020 Gray,Toyota,Camry,,foreign used,automatic,"₦ 28,500,000"
Mercedes-Benz C300 Base AWD 4Matic Sedan (2.0L 4cyl 7A) 2015 Black,,,,local used,automatic,"₦ 24,000,000"
Mercedes-Benz M Class ML 350 4Matic 2012 Black,,,,local used,automatic,"₦ 21,389,062"
Toyota Carina 2.0D FWD Sedan 1991 Gray,Toyota,Carina,,local used,automatic,"₦ 2,600,000"
Toyota Altezza 2019 Gray,Toyota,Altezza,2019,foreign used,automatic,"₦ 34,400,000"
Mazda 323 2.0 2001 Gold,Mazda,323,,local used,manual,"₦ 2,400,000"
Toyota Corolla Sedan 2004 Blue,Toyota,Corolla,,local used,automatic,"₦ 3,300,000"
Mercedes-Benz GLC-Class 2018 White,,,,foreign used,automatic,"₦ 29,500,000"
Mercedes-Benz C300 2017 Blue,,,,foreign used,automatic,"₦ 26,000,000"
Mercedes-Benz GLE-Class 2016 Silver,,,,foreign used,automatic,"₦ 64,500,000"
Toyota Corolla 2008 White,Toyota,Corolla,2008,local used,automatic,"₦ 6,600,000"
Mazda 626 LX 4dr Sedan (2.0L 4cyl 5M) 2001 Gray,Mazda,626,,local used,automatic,"₦ 2,600,000"
Bentley Continental 2022 Black,Bentley,Continental,2022,foreign used,automatic,"₦ 580,000,000"
Toyota Matrix 2005 Silver,Toyota,Matrix,2005,local used,automatic,"₦ 5,300,000"
Nissan Almera Tino 1.8 2001 Red,Nissan,Almera,,local used,manual,"₦ 2,700,000"
Lexus NX 2016 Black,Lexus,NX,2016,foreign used,automatic,"₦ 50,000,000"
Lexus RX 300 2003 White,Lexus,RX,,local used,automatic,"₦ 4,200,000"
Hyundai Elantra 2012 Black,Hyundai,Elantra,2012,local used,automatic,"₦ 7,200,000"
Hyundai Sonata SE 2.0T Sedan FWD (2.0L 4cyl 6A) 2011 Gray,Hyundai,Sonata,,foreign used,automatic,"₦ 10,500,000"
Toyota Corolla Sedan 2004 Green,Toyota,Corolla,,local used,automatic,"₦ 4,700,000"
Toyota Tundra Regular Cab 2006 Gray,Toyota,Tundra,,local used,automatic,"₦ 9,300,000"
Toyota Camry 2001 Gold,Toyota,Camry,2001,local used,automatic,"₦ 2,500,000"
Toyota Corolla 2004 Black,Toyota,Corolla,2004,local used,automatic,"₦ 5,700,000"
Toyota Sienna 2006 Gold,Toyota,Sienna,2006,local used,automatic,"₦ 5,700,000"
Toyota Corolla 2004 Black,Toyota,Corolla,2004,local used,automatic,"₦ 5,000,000"
Mercedes-Benz C350 2008 Black,,,,local used,automatic,"₦ 7,000,000"
Lexus RX 330 2006 Silver,Lexus,RX,,local used,automatic,"₦ 7,000,000"
Honda Accord Coupe 2.4 EX 2009 Black,Honda,Accord,,local used,automatic,"₦ 5,200,000"
Land Rover Range Rover Velar P340 R-Dynamic S 4x4 2020 Blue,Land,Rover,,foreign used,automatic,"₦ 49,000,000"
Lexus ES 350 FWD 2013 Silver,Lexus,ES,,foreign used,automatic,"₦ 22,500,000"
Toyota Highlander Limited Platinum 2019 White,Toyota,Highlander,,foreign used,automatic,"₦ 46,000,000"
Toyota Corolla L 4dr Sedan (1.8L 4cyl 6M) 2015 Gray,Toyota,Corolla,,foreign used,automatic,"₦ 15,500,000"
Lexus ES 350 2008 White,Lexus,ES,,foreign used,automatic,"₦ 14,200,000"
